Name,Rank,Year,Rating
Die Verurteilten,1,1994,9.2
Der Pate,2,1972,9.2
The Dark Knight,3,2008,9.0
Der Pate 2,4,1974,9.0
Die zwölf Geschworenen,5,1957,9.0
Schindlers Liste,6,1993,8.9
Der Herr der Ringe: Die Rückkehr des Königs,7,2003,8.9
Pulp Fiction,8,1994,8.8
Der Herr der Ringe: Die Gefährten,9,2001,8.8
Zwei glorreiche Halunken,10,1966,8.8
Forrest Gump,11,1994,8.8
Fight Club,12,1999,8.7
Der Herr der Ringe: Die zwei Türme,13,2002,8.7
Inception,14,2010,8.7
Das Imperium schlägt zurück,15,1980,8.7
Matrix,16,1999,8.7
GoodFellas - Drei Jahrzehnte in der Mafia,17,1990,8.7
Einer flog über das Kuckucksnest,18,1975,8.6
Sieben,19,1995,8.6
Die sieben Samurai,20,1954,8.6
Ist das Leben nicht schön?,21,1946,8.6
Das Schweigen der Lämmer,22,1991,8.6
Der Soldat James Ryan,23,1998,8.6
City of God,24,2002,8.6
Interstellar,25,2014,8.6
Das Leben ist schön,26,1997,8.6
The Green Mile,27,1999,8.6
Krieg der Sterne,28,1977,8.5
Terminator 2: Tag der Abrechnung,29,1991,8.5
Zurück in die Zukunft,30,1985,8.5
Chihiros Reise ins Zauberland,31,2001,8.5
Der Pianist,32,2002,8.5
Psycho,33,1960,8.5
Parasite,34,2019,8.5
Léon: Der Profi,35,1994,8.5
Der König der Löwen,36,1994,8.5
Gladiator,37,2000,8.5
American History X,38,1998,8.5
Departed: Unter Feinden,39,2006,8.5
Die üblichen Verdächtigen,40,1995,8.5
Prestige - Die Meister der Magie,41,2006,8.5
Whiplash,42,2014,8.5
Casablanca,43,1942,8.5
Die letzten Glühwürmchen,44,1988,8.5
Harakiri,45,1962,8.5
Ziemlich beste Freunde,46,2011,8.5
Moderne Zeiten,47,1936,8.4
Spiel mir das Lied vom Tod,48,1968,8.4
Cinema Paradiso,49,1988,8.4
Das Fenster zum Hof,50,1954,8.4
Alien - Das unheimliche Wesen aus einer fremden Welt,51,1979,8.4
Lichter der Großstadt - Eine Komödien-Romance als Pantomime,52,1931,8.4
Apocalypse Now,53,1979,8.4
Memento,54,2000,8.4
Django Unchained,55,2012,8.4
Jäger des verlorenen Schatzes,56,1981,8.4
WALL·E - Der Letzte räumt die Erde auf,57,2008,8.4
Das Leben der Anderen,58,2006,8.4
Boulevard der Dämmerung,59,1950,8.4
Wege zum Ruhm,60,1957,8.4
Shining,61,1980,8.4
Der große Diktator,62,1940,8.4
Avengers: Infinity War,63,2018,8.4
Zeugin der Anklage,64,1957,8.4
Alien 2 - Die Rückkehr,65,1986,8.3
Spider-Man: A New Universe,66,2018,8.3
American Beauty,67,1999,8.3
"Dr. Seltsam oder: Wie ich lernte, die Bombe zu lieben",68,1964,8.3
The Dark Knight Rises,69,2012,8.3
Oldboy,70,2003,8.3
Inglourious Basterds,71,2009,8.3
Amadeus,72,1984,8.3
Coco: Lebendiger als das Leben,73,2017,8.3
Toy Story,74,1995,8.3
Joker,75,2019,8.3
Braveheart,76,1995,8.3
Das Boot,77,1981,8.3
Avengers: Endgame,78,2019,8.3
Prinzessin Mononoke,79,1997,8.3
Es war einmal in Amerika,80,1984,8.3
Good Will Hunting: Der gute Will Hunting,81,1997,8.3
Your Name.,82,2016,8.3
Du sollst mein Glücksstern sein,83,1952,8.3
3 Idiots,84,2009,8.3
Requiem for a Dream,85,2000,8.3
Zwischen Himmel und Hölle,86,1963,8.3
Toy Story 3,87,2010,8.3
Capernaum: Stadt der Hoffnung,88,2018,8.3
Die Rückkehr der Jedi-Ritter,89,1983,8.3
2001: Odyssee im Weltraum,90,1968,8.3
Vergiss mein nicht,91,2004,8.3
Reservoir Dogs: Wilde Hunde,92,1992,8.3
Komm und sieh',93,1985,8.3
Die Jagd,94,2012,8.3
Citizen Kane,95,1941,8.3
M: Eine Stadt sucht einen Mörder,96,1931,8.2
Lawrence von Arabien,97,1962,8.2
